Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
NuGet.0001,Das NuGet-Paket ist nicht kompatibel,Active,Mandatory,1,OutSmart.DAXon.csproj,File,OutSmart.DAXon.csproj,,,Microsoft.NETFramework.ReferenceAssemblies 1.0.3,,,,,"Microsoft.NETFramework.ReferenceAssemblies, 1.0.3  Empfehlung:  Keine unterstützte Version gefunden"
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,OutSmart.DAXon.csproj,File,OutSmart.DAXon.csproj,,,,,,,,Aktuelles Zielframework: net472 Empfohlenes Zielframework: net10.0
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Core\Configuration.cs,2124,16,T:System.Uri,,,,,uri = Uri.UnescapeDataString(uri);
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Core\Configuration.cs,2118,16,T:System.Uri,,,,,uri = Uri.UnescapeDataString(uri);
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Resources\StandardCollectionFinder.cs,38,16,T:System.Uri,,,,,"resolvedURI = new Uri(collectionURI, UriKind.Absolute);"
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Resources\StandardCollectionFinder.cs,38,16,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"resolvedURI = new Uri(collectionURI, UriKind.Absolute);"
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Resources\AbstractResourceCollection.cs,175,24,T:System.Uri,,,,,string file = new Uri(uri.ToString()).LocalPath;
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Resources\AbstractResourceCollection.cs,175,24,M:System.Uri.#ctor(System.String),,,,,string file = new Uri(uri.ToString()).LocalPath;
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Resources\AbstractResourceCollection.cs,146,20,T:System.Uri,,,,,URLConnection connection = ResourceLoader.UrlConnection(uri.Inner);
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Resources\ResourceLoader.cs,131,16,T:System.Uri,,,,,URLConnection conn = ResourceLoader.UrlConnection(new Uri(url));
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Resources\ResourceLoader.cs,131,16,M:System.Uri.#ctor(System.String),,,,,URLConnection conn = ResourceLoader.UrlConnection(new Uri(url));
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Resources\ResourceLoader.cs,111,16,T:System.Uri,,,,,URLConnection conn = ResourceLoader.UrlConnection(new Uri(url));
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Resources\ResourceLoader.cs,111,16,M:System.Uri.#ctor(System.String),,,,,URLConnection conn = ResourceLoader.UrlConnection(new Uri(url));
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Resources\ResourceLoader.cs,27,8,T:System.Uri,,,,,public static URLConnection UrlConnection(Uri url)
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Resources\ResourceLoader.cs,53,24,T:System.Uri,,,,,"url = new Uri(url, location);"
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,OutSmart.DAXon.csproj,File,Resources\ResourceLoader.cs,53,24,"M:System.Uri.#ctor(System.Uri,System.String)",,,,,"url = new Uri(url, location);"
